pohlavi,vek,p50_vyska,p3_vyska,p97_vyska,p50_hmotnost,p3_hmotnost,p97_hmotnost
M,0.05,51,47,54,3.5,2.7,4.3
M,0.13,51.5,46.7,55.8,3.5,2.7,4.7
M,1,56.4,51.5,60.5,4.7,3.3,6.6
M,2,60.5,56,65.2,5.6,4.5,6.8
M,3,63.1,57.6,67.7,6.2,5.3,7.6
M,4,65.4,61.5,71.1,6.9,5.6,8.8
M,5,68,63.7,73.1,7.5,6.1,9.6
M,6,69.2,65.3,73.7,7.9,6.5,9.5
M,7,71.5,67,75.1,8.3,6.7,9.8
M,8,72,67,75.3,8.4,7.1,10.6
M,9,75,68.5,79.6,9.7,7.8,11.5
M,10,73.5,69.4,79.4,9.6,7.8,12
M,11,77,72.7,82.3,10,8.4,12.1
M,12,78,73,83.1,10.5,8.6,12.6
M,15,82.5,77.5,86.8,12,9.7,13.9
M,18,84.6,80.2,91.2,11.8,9.8,14
M,21,86.4,81.9,93.2,12.5,10.2,15.3
M,24,92,84.2,98.9,13.9,11.1,17
M,30,95.6,88.4,104,14.8,11.5,19.1
M,36,100,92.5,108.2,16,12.5,20
M,42,103.2,95.4,111.5,16,13,21
M,48,108.5,99.1,117.6,18,14,23
M,60,115.1,106.4,124.7,20,16,27.2
F,0.05,50,46.4,53,3.3,2.6,4.1
F,0.13,51,46.8,56.2,3.5,2.4,4.4
F,1,55.5,50.3,60.9,4.4,3.5,5.5
F,2,59,52.7,61.7,5.2,4.1,6.5
F,3,61.5,57.9,66.2,6,5.1,7.4
F,4,64.1,58.4,68,6.4,5.1,7.8
F,5,65.9,61,70.1,7.2,6.1,8.8
F,6,67.4,60.8,72.2,7.5,6.2,9.1
F,7,71,59.9,78.9,8.2,6.2,11.2
F,8,71,63.6,75,8,6.4,10.1
F,9,72,66.8,76.2,8.5,7.2,10.1
F,10,72.6,69,76.8,8.7,7.1,11
F,11,75,68.6,78.6,9,6.9,10.9
F,12,76,71.7,80.2,10,8.1,11.7
F,15,80,73.3,88.4,10.6,7.9,13.2
F,18,83,77.8,89.4,11.5,9.7,14
F,21,85.8,79.9,92.3,12,9.6,15.4
F,24,90.1,84,98.7,13,10.2,16.6
F,30,94.5,86.5,101,14.3,11.5,18
F,36,99,91.2,107,15,12,18.5
F,42,102.3,93.7,109.9,16,13,21.3
F,48,107.9,99.4,116.8,17.5,14,22.7
F,60,114.5,105,124.3,20,15.5,27
